"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US55025012700","Census Tract 127, Dane County, Wisconsin","5160","1161",
"1400000US55025012800","Census Tract 128, Dane County, Wisconsin","8010","116",
"1400000US55025012900","Census Tract 129, Dane County, Wisconsin","3938","336",
"1400000US55025013000","Census Tract 130, Dane County, Wisconsin","4937","263",
"1400000US55025013100","Census Tract 131, Dane County, Wisconsin","4640","319",
"1400000US55025013201","Census Tract 132.01, Dane County, Wisconsin","3962","514",
"1400000US55025013202","Census Tract 132.02, Dane County, Wisconsin","5987","396",
"1400000US55025013301","Census Tract 133.01, Dane County, Wisconsin","5746","524",
"1400000US55025013302","Census Tract 133.02, Dane County, Wisconsin","5896","458",
"1400000US55025013700","Census Tract 137, Dane County, Wisconsin","6631","498",
"1400000US55025991702","Census Tract 9917.02, Dane County, Wisconsin","0","9",
"1400000US55025991703","Census Tract 9917.03, Dane County, Wisconsin","0","9",
